Month,Year,Borough,ViolenceAgainstPerson_Murder,ViolenceAgainstPerson_WoundingGBH,ViolenceAgainstPerson_AssaultWithInjury,ViolenceAgainstPerson_CommonAssault,ViolenceAgainstPerson_OffensiveWeapon,ViolenceAgainstPerson_Harassment,ViolenceAgainstPerson_OtherViolence,Sexual_Rape,Sexual_OtherSexual,Robbery_PersonalProperty,Robbery_BusinessProperty,Burglary_Dwelling,Burglary_OtherBuildings,Theft_TakingOfMotorVehicle,Theft_FromMotorVehicle,Theft_MotorVehicleTampering,Theft_FromShops,Theft_Person,Theft_TakingOfPedalCycles,Theft_OtherTheft,Theft_HandlingStolenGoods,FraudForgery_CountedPerVictim,FraudForgery_OtherFraudForgery,CriminalDamage_Dwelling,CriminalDamage_OtherBuildings,CriminalDamage_MotorVehicle,CriminalDamage_OtherCriminalDamage,Drugs_DrugTrafficking,Drugs_PossessionOfDrugs,Drugs_OtherDrugs,OtherNotifiableOffences_GoingEquipped,OtherNotifiableOffences_OtherNotifiable,Males00-20,Males00-20,Males21-40,Males41-60,Males61+,Females00-20,Females21-40,Females41-60,Females61+,PoliceOfficer,PoliceSergeant,SpecialPoliceConstable,PoliceCommunitySupportOfficer,PoliceStaff,UnemployedMale18-24,UnemployedMale25-44,UnemployedMale45-64,UnemployedFemale18-24,UnemployedFemale25-44,UnemployedFemale45-64,PublicAttitudeSurvey_FearofCrime%
DEC,2014,Redbridge,2,65,113,142,5,155,34,6,38,59,6,271,36,61,124,19,92,51,13,188,4,0,1,32,12,70,44,4,78,0,1,28,43178,43178,46791,34464,20744,40733,46477,35892,24776,529,43,100,49,52,1245,2655,1680,825,2055,1395,36
DEC,2014,RichmondUponThames,0,20,43,57,2,86,5,6,15,7,2,65,72,24,69,13,70,23,30,109,1,0,1,18,15,51,19,1,20,0,0,14,24684,24684,26214,27120,16034,23902,28299,27644,19688,310,67,56,25,20,330,915,960,210,810,585,23
DEC,2014,Southwark,0,85,161,200,10,214,27,24,38,93,16,141,104,61,108,25,108,101,71,380,5,0,2,49,32,46,46,8,195,1,1,36,36455,36455,62703,36731,14088,35574,63906,35875,17206,763,68,104,36,70,1740,5115,4035,1230,3630,2670,37
DEC,2014,Sutton,0,32,75,94,8,111,10,5,16,6,3,78,55,16,85,9,58,15,13,129,2,0,0,19,12,55,29,4,32,0,0,7,26392,26392,26363,27054,16699,24957,28394,27811,20464,339,62,68,34,36,585,1260,1110,360,1020,750,27
DEC,2014,Tower Hamlets,2,89,179,201,15,172,29,21,25,117,7,127,69,83,122,21,91,143,56,276,3,0,4,43,22,82,56,10,128,0,0,48,37207,37207,71212,28074,10446,36196,66121,22613,12146,681,58,130,32,58,2190,4485,3090,1620,3165,1800,40
DEC,2014,Waltham Forest,0,60,123,134,11,143,22,10,23,67,6,151,47,49,119,17,82,52,10,232,2,0,2,26,11,63,19,13,95,0,0,33,37363,37363,47872,32706,15935,35535,45892,33376,19341,613,69,105,38,60,1980,4305,2760,1305,2925,2115,34
DEC,2014,Wandsworth,0,63,124,146,8,142,27,13,18,33,3,116,119,96,155,32,126,71,56,266,3,0,2,31,25,42,54,4,38,0,0,41,33789,33789,66849,33152,16230,33252,74209,34049,20615,585,80,80,27,55,915,2955,2385,630,2235,1620,29
DEC,2014,Westminster,2,118,175,228,17,179,34,24,35,120,10,167,167,52,201,33,337,684,80,1358,4,0,8,24,32,50,58,18,191,0,0,62,24845,24845,49933,29280,16419,23040,43644,27376,18755,1189,50,259,79,112,615,2310,1770,390,1755,1305,36
NOV,2014,Barking&Dagenham,0,76,130,124,3,120,24,11,13,35,3,180,42,64,94,23,65,38,14,162,6,0,1,32,9,57,31,8,77,0,0,36,34324,34324,29106,22598,10891,32007,31865,23411,14092,499,48,111,44,54,1590,2985,1770,1200,2475,1350,49
NOV,2014,Barnet,0,62,111,150,15,183,21,13,18,45,2,284,82,68,179,54,89,43,13,272,5,0,2,33,20,67,39,4,83,1,0,31,51568,51568,58191,45418,28880,48062,58890,47962,35944,548,131,105,60,48,1125,3360,2445,720,2475,1665,39
NOV,2014,Bexley,0,44,82,75,5,86,9,8,13,14,1,79,51,39,74,6,62,8,11,143,1,0,2,39,7,78,28,5,46,0,0,22,32788,32788,29768,31302,21715,31362,32334,33348,27248,362,67,99,48,38,945,1545,1185,825,1590,915,27
NOV,2014,Brent,0,90,167,227,15,205,37,15,30,50,4,220,56,35,86,19,107,52,34,226,4,0,1,44,33,68,53,6,170,3,0,46,43842,43842,58210,39127,21253,40830,53467,39276,24757,619,56,146,28,57,1905,5340,4020,1170,3195,2610,40
NOV,2014,Bromley,0,42,120,137,9,193,13,7,21,24,8,145,82,49,132,20,160,30,17,212,0,0,1,48,14,86,57,7,75,0,1,44,41283,41283,39156,43399,30550,39188,43060,46078,38564,499,71,79,57,31,1095,1920,1815,675,1620,1170,24
NOV,2014,Camden,0,63,117,155,8,181,17,17,22,59,3,155,91,84,126,22,94,282,84,564,4,0,4,37,26,74,44,9,149,0,0,41,27500,27500,46765,26969,15557,26815,46390,25984,18866,671,67,167,38,51,885,2505,1860,645,1740,1215,34
NOV,2014,Croydon,1,85,199,199,17,245,27,19,32,59,9,170,111,79,185,27,154,35,22,316,5,0,3,63,25,112,67,15,198,0,2,48,53378,53378,52637,48608,27896,51452,56244,51904,33921,741,64,137,39,65,2070,3975,2925,1260,2805,2100,34
NOV,2014,Ealing,0,67,142,205,11,221,34,12,32,50,9,224,58,54,175,25,131,27,30,284,6,0,4,45,29,78,36,8,144,0,2,38,46653,46653,58463,43039,23530,44003,55801,42988,27641,719,56,143,39,54,1530,4815,3180,1020,3360,2190,35
NOV,2014,Enfield,1,64,127,132,16,173,36,12,33,60,4,187,46,56,135,20,95,50,27,251,6,0,5,43,14,93,39,6,116,2,3,32,48214,48214,46110,40045,23390,44934,49844,43249,28788,588,51,136,50,40,2085,4155,2805,1530,3870,2325,30
NOV,2014,Greenwich,0,73,135,168,6,157,34,17,30,47,8,105,81,28,103,25,112,43,17,233,3,0,2,39,14,74,44,5,94,0,0,35,38181,38181,47739,32419,16272,35981,45989,32474,19623,619,72,107,36,45,1605,3660,2400,1320,2775,1620,30
NOV,2014,Hackney,0,68,151,191,13,197,26,9,43,86,8,119,96,51,143,17,46,209,68,329,10,0,1,34,21,123,54,11,102,1,3,40,34266,34266,57488,27439,11520,33439,57718,27932,13348,613,53,135,38,63,1545,5265,3795,1140,3750,2220,37
NOV,2014,Hammersmith&Fulham,0,42,93,124,11,158,17,16,25,41,5,107,49,46,173,35,160,91,55,321,5,0,1,31,14,51,38,5,125,1,6,32,19501,19501,37122,20553,10095,19004,37453,21724,12913,537,83,115,30,39,720,2625,1845,510,1905,1395,31
NOV,2014,Haringey,0,69,161,156,9,162,33,13,25,68,4,205,55,66,153,22,100,100,39,245,3,0,2,53,26,68,49,9,108,1,3,38,34672,34672,52675,32287,14454,33232,49292,33176,17753,618,83,115,30,53,1635,5070,3690,1125,3525,2340,33
NOV,2014,Harrow,0,46,74,93,3,89,15,5,13,27,0,160,21,17,83,8,78,23,14,115,0,0,7,23,9,38,29,11,66,1,1,20,33214,33214,37269,30560,21122,30841,36094,32113,24798,382,61,98,28,26,825,1845,1245,495,1335,1065,40
NOV,2014,Havering,0,48,97,80,3,103,14,9,10,44,3,173,38,50,86,19,106,26,4,152,2,0,1,17,23,47,32,4,57,0,0,25,31565,31565,30424,31787,24419,30199,32569,33590,31421,411,68,81,38,41,1095,2100,1485,855,1650,1095,38
NOV,2014,Hillingdon,0,67,150,171,13,173,36,11,24,37,4,247,73,49,186,39,147,35,22,317,3,0,5,35,29,111,60,9,93,0,1,103,41683,41683,46137,36027,22171,39226,45269,36318,25859,522,54,100,28,41,870,2355,1515,675,1845,1065,31
NOV,2014,Hounslow,0,35,109,180,10,158,36,9,26,32,6,123,48,28,208,34,147,33,44,201,3,0,3,34,12,63,48,11,106,2,2,24,36123,36123,48011,32504,17735,34143,44746,31704,20602,554,50,124,29,45,1185,2730,1755,780,1965,1215,46
NOV,2014,Islington,1,59,114,180,14,197,20,11,32,82,6,115,76,114,92,24,120,290,93,346,3,0,1,36,24,60,46,11,98,2,5,41,23849,23849,50080,24632,11492,23558,49851,23973,13595,563,66,104,35,38,1530,3420,2280,930,2505,1515,30
NOV,2014,Kensington&Chelsea,0,25,41,112,5,135,11,8,19,33,3,79,53,68,131,7,131,109,39,363,3,0,0,15,15,24,22,5,70,0,2,24,16578,16578,27794,20242,12643,15275,27431,21088,15139,465,65,146,72,32,480,1395,1140,300,990,975,26
NOV,2014,KingstonUponThames,0,29,69,64,3,80,6,8,13,8,1,67,29,5,46,8,98,33,31,149,1,0,1,17,23,31,28,9,53,0,1,14,21576,21576,27406,21528,12903,21617,27953,21460,15515,332,45,89,26,38,435,975,765,315,750,570,25
NOV,2014,Lambeth,0,95,177,245,17,240,33,24,35,102,8,132,93,84,171,39,110,221,75,414,6,0,7,55,20,78,73,20,174,1,3,53,35850,35850,72313,36669,14712,34926,69944,36234,17568,828,57,125,49,74,1980,5685,4725,1305,3930,3135,34
NOV,2014,Lewisham,0,58,151,184,17,170,34,24,42,57,6,100,53,47,131,19,81,51,22,237,6,0,2,52,10,70,45,9,91,0,0,32,38667,38667,52939,36227,15688,37129,54252,37671,19360,647,35,133,47,35,2040,4605,3735,1335,3570,2535,41
NOV,2014,Merton,0,30,85,80,2,92,11,8,10,24,3,144,56,53,106,16,46,16,35,131,1,0,2,19,15,60,18,4,47,0,1,24,26080,26080,34611,25267,14005,24715,35157,26347,17333,363,67,79,31,19,780,1920,1320,600,1470,990,29
NOV,2014,Newham,1,98,171,243,3,184,35,22,37,125,2,120,71,76,182,24,158,142,31,364,5,0,4,49,19,80,46,13,129,1,3,49,48340,48340,72216,34902,13726,46916,58350,33494,16378,794,44,151,43,50,2130,5025,3075,1845,3690,2385,49
NOV,2014,Redbridge,1,60,117,153,8,169,20,7,40,52,9,241,29,83,138,19,80,44,12,193,1,0,0,24,17,77,37,5,108,0,0,33,43178,43178,46791,34464,20744,40733,46477,35892,24776,531,43,116,51,54,1485,2580,1755,1065,2190,1470,38
NOV,2014,RichmondUponThames,0,26,66,71,3,83,10,3,11,11,2,81,73,17,80,11,89,16,42,137,0,0,2,11,11,44,21,0,26,0,0,20,24684,24684,26214,27120,16034,23902,28299,27644,19688,314,67,58,25,20,405,1020,930,285,900,630,22
NOV,2014,Southwark,1,94,176,200,6,187,38,14,30,129,6,121,122,70,168,72,112,143,84,407,3,0,3,46,23,87,49,11,235,3,1,46,36455,36455,62703,36731,14088,35574,63906,35875,17206,767,69,109,37,70,1860,5310,4020,1305,3780,2835,32
NOV,2014,Sutton,0,24,87,89,3,102,13,10,17,20,1,64,79,25,99,20,59,12,13,131,0,0,1,30,16,54,27,5,24,1,1,14,26392,26392,26363,27054,16699,24957,28394,27811,20464,340,60,67,34,37,630,1275,1110,480,1035,720,26
NOV,2014,Tower Hamlets,0,87,159,225,15,221,22,18,31,106,8,100,80,99,137,21,67,127,89,328,5,0,0,31,23,78,72,16,198,1,1,44,37207,37207,71212,28074,10446,36196,66121,22613,12146,688,59,141,32,59,2340,4725,3105,1830,3420,1830,38
NOV,2014,Waltham Forest,0,51,150,150,16,177,31,10,32,58,4,142,47,64,128,15,76,55,19,236,7,0,1,34,12,57,36,12,111,1,1,26,37363,37363,47872,32706,15935,35535,45892,33376,19341,615,69,109,38,60,2100,4365,2775,1410,3075,2250,31
NOV,2014,Wandsworth,0,62,122,200,15,172,17,22,29,39,5,140,107,83,141,35,123,70,69,299,4,0,1,38,21,61,32,7,50,0,1,30,33789,33789,66849,33152,16230,33252,74209,34049,20615,592,83,86,27,55,975,3075,2385,735,2415,1665,28
NOV,2014,Westminster,0,81,176,243,8,231,36,16,41,129,13,145,157,71,185,33,343,493,103,1099,6,0,5,27,40,69,44,34,202,1,3,65,24845,24845,49933,29280,16419,23040,43644,27376,18755,1202,50,266,79,112,720,2340,1755,435,1815,1320,35
OCT,2014,Barking&Dagenham,0,46,122,113,8,118,22,10,25,48,2,110,45,56,69,17,64,25,15,149,9,0,6,38,7,74,38,8,86,0,2,27,34324,34324,29106,22598,10891,32007,31865,23411,14092,493,46,100,44,54,1710,3090,1785,1230,2580,1470,49
OCT,2014,Barnet,1,49,130,157,12,173,14,13,28,40,6,244,77,53,193,54,128,35,19,319,5,0,3,33,17,97,51,8,66,1,3,28,51568,51568,58191,45418,28880,48062,58890,47962,35944,546,131,103,59,49,1170,3435,2415,810,2625,1740,39
OCT,2014,Bexley,1,39,83,84,4,80,23,9,15,12,2,62,42,45,78,15,69,13,13,107,1,0,1,27,13,78,27,5,77,0,0,24,32788,32788,29768,31302,21715,31362,32334,33348,27248,358,67,96,48,38,1050,1680,1185,810,1680,1005,27
OCT,2014,Brent,0,95,151,240,14,229,34,18,31,67,3,201,67,68,100,27,123,53,43,267,3,0,0,42,17,65,67,14,167,2,2,34,43842,43842,58210,39127,21253,40830,53467,39276,24757,614,56,144,29,57,1935,5640,4170,1260,3330,2640,40
OCT,2014,Bromley,0,41,121,124,11,171,17,16,22,39,5,123,54,65,136,31,147,32,26,220,4,0,1,43,19,85,65,6,82,0,0,40,41283,41283,39156,43399,30550,39188,43060,46078,38564,497,71,81,57,31,1125,1980,1785,765,1650,1245,24
OCT,2014,Camden,0,62,117,163,6,189,14,11,27,78,6,129,125,85,124,31,128,210,107,538,4,0,3,28,25,50,42,13,159,2,1,44,27500,27500,46765,26969,15557,26815,46390,25984,18866,673,66,154,38,54,1005,2640,1950,735,1725,1245,34
OCT,2014,Croydon,0,71,213,204,15,242,21,29,26,74,11,167,96,93,215,43,192,44,35,306,5,0,1,53,20,125,67,10,145,0,5,36,53378,53378,52637,48608,27896,51452,56244,51904,33921,735,64,136,39,65,2175,4005,3075,1410,3045,2085,34
OCT,2014,Ealing,1,77,147,226,12,207,21,13,37,47,6,244,68,55,257,42,146,46,60,267,3,0,7,50,19,86,46,10,111,1,2,56,46653,46653,58463,43039,23530,44003,55801,42988,27641,714,56,145,39,56,1680,5040,3225,1110,3450,2190,35
OCT,2014,Enfield,0,54,153,124,19,149,35,9,33,72,4,214,75,60,153,11,82,40,24,264,8,0,7,43,18,86,49,7,110,0,4,35,48214,48214,46110,40045,23390,44934,49844,43249,28788,588,51,132,50,40,2130,4230,2955,1650,3975,2445,30
OCT,2014,Greenwich,0,65,155,175,13,178,22,16,31,42,6,133,62,37,116,24,118,52,30,226,2,0,1,42,19,61,49,7,68,1,0,35,38181,38181,47739,32419,16272,35981,45989,32474,19623,611,71,102,36,46,1740,3795,2415,1470,2925,1650,30
OCT,2014,Hackney,0,88,180,203,10,173,21,16,52,75,6,119,99,59,117,20,75,149,149,329,7,0,3,43,18,67,41,12,84,0,3,45,34266,34266,57488,27439,11520,33439,57718,27932,13348,603,53,143,38,63,1635,5460,3915,1290,3795,2430,37
OCT,2014,Hammersmith&Fulham,0,24,92,109,10,188,17,16,20,34,1,78,36,66,153,10,139,70,72,325,11,0,0,21,16,59,36,6,141,2,5,34,19501,19501,37122,20553,10095,19004,37453,21724,12913,536,84,117,30,40,825,2685,1995,540,1980,1455,31
OCT,2014,Haringey,0,100,155,158,7,160,29,15,40,104,10,153,66,77,172,31,81,91,42,292,5,0,9,53,28,81,51,10,86,0,1,32,34672,34672,52675,32287,14454,33232,49292,33176,17753,610,83,118,30,54,1755,5205,3720,1290,3525,2385,33
OCT,2014,Harrow,0,33,75,93,5,105,14,10,9,31,3,153,44,18,92,20,64,17,23,120,1,0,1,16,7,56,25,8,68,1,6,19,33214,33214,37269,30560,21122,30841,36094,32113,24798,380,62,102,28,26,945,1845,1380,555,1335,1035,40
OCT,2014,Havering,0,35,90,103,12,118,11,8,14,30,2,93,42,81,96,18,103,26,14,188,3,0,3,41,16,50,50,5,60,0,0,29,31565,31565,30424,31787,24419,30199,32569,33590,31421,406,69,89,39,41,1245,2130,1545,960,1740,1170,38
OCT,2014,Hillingdon,0,57,124,189,4,223,18,8,23,28,1,233,65,52,251,49,117,40,30,321,3,0,2,46,28,98,58,7,68,0,2,84,41683,41683,46137,36027,22171,39226,45269,36318,25859,519,54,91,28,42,975,2475,1560,720,1995,1095,31
OCT,2014,Hounslow,0,54,132,150,6,196,18,14,44,36,1,129,50,32,190,27,137,33,47,221,5,0,2,37,22,97,43,22,152,0,0,20,36123,36123,48011,32504,17735,34143,44746,31704,20602,542,50,117,29,45,1275,2805,1680,855,2010,1305,46
OCT,2014,Islington,0,69,127,183,9,205,27,9,32,68,9,122,78,90,90,21,123,202,131,332,3,0,2,38,18,142,36,16,75,3,2,41,23849,23849,50080,24632,11492,23558,49851,23973,13595,559,65,108,35,38,1755,3675,2385,1095,2730,1605,30
OCT,2014,Kensington&Chelsea,0,49,74,96,4,145,5,11,19,31,3,53,53,90,129,18,127,87,90,361,3,0,1,20,11,36,21,2,50,1,1,18,16578,16578,27794,20242,12643,15275,27431,21088,15139,458,66,148,73,32,600,1440,1230,330,1035,915,26
OCT,2014,KingstonUponThames,0,34,49,59,3,70,6,3,14,9,0,65,37,11,47,6,100,21,49,122,1,0,1,15,11,44,30,1,38,1,1,13,21576,21576,27406,21528,12903,21617,27953,21460,15515,324,46,89,26,39,480,1020,810,300,765,555,25
OCT,2014,Lambeth,0,103,206,244,28,291,32,27,48,112,6,166,82,89,191,46,123,145,104,418,11,0,1,55,35,92,67,41,236,2,5,61,35850,35850,72313,36669,14712,34926,69944,36234,17568,825,58,122,52,75,2130,5820,4800,1395,3900,3225,34
OCT,2014,Lewisham,0,72,141,194,22,200,15,13,33,64,4,128,61,56,127,20,93,50,49,237,4,0,3,44,19,76,44,14,97,1,1,33,38667,38667,52939,36227,15688,37129,54252,37671,19360,644,31,134,47,35,2160,4770,3690,1455,3795,2565,41
OCT,2014,Merton,0,41,68,81,5,87,9,4,17,24,4,90,68,38,84,17,74,20,35,141,3,0,0,31,13,42,28,4,29,0,0,11,26080,26080,34611,25267,14005,24715,35157,26347,17333,360,68,76,31,19,825,1935,1410,660,1530,975,29
OCT,2014,Newham,0,93,181,246,9,191,19,30,38,126,12,115,57,103,161,32,139,76,44,330,15,0,1,43,23,79,53,16,143,1,4,49,48340,48340,72216,34902,13726,46916,58350,33494,16378,785,44,151,43,50,2355,5145,3150,2055,3735,2370,49
OCT,2014,Redbridge,0,54,107,150,10,185,28,15,55,43,6,175,44,99,133,26,101,41,15,216,6,0,6,33,18,60,33,5,141,0,4,41,43178,43178,46791,34464,20744,40733,46477,35892,24776,531,43,118,51,54,1770,2745,1950,1290,2235,1500,38
OCT,2014,RichmondUponThames,0,18,51,49,6,82,3,6,13,15,0,68,50,29,104,25,49,11,67,125,1,0,0,18,10,43,23,4,51,0,1,16,24684,24684,26214,27120,16034,23902,28299,27644,19688,310,67,56,25,20,450,1095,960,255,915,660,22
OCT,2014,Southwark,1,100,190,217,14,226,19,20,36,101,9,137,111,101,165,43,109,122,92,457,6,0,1,57,31,91,61,13,192,2,1,48,36455,36455,62703,36731,14088,35574,63906,35875,17206,767,70,113,38,70,2010,5460,4005,1500,4020,2880,32
OCT,2014,Sutton,0,26,76,80,3,87,9,15,9,22,2,78,59,26,94,17,65,13,10,124,4,0,0,25,13,68,24,3,52,0,0,8,26392,26392,26363,27054,16699,24957,28394,27811,20464,338,61,55,34,37,705,1275,1125,510,1110,780,26
OCT,2014,Tower Hamlets,0,91,160,223,16,227,26,19,39,105,1,85,74,63,145,26,73,101,105,313,11,0,3,48,27,74,66,10,176,2,2,49,37207,37207,71212,28074,10446,36196,66121,22613,12146,684,61,139,33,61,2580,5085,3270,2025,3510,1830,38
OCT,2014,Waltham Forest,0,57,139,113,15,153,28,8,25,64,8,161,56,66,135,16,83,46,30,251,2,0,7,34,9,50,42,11,123,4,1,30,37363,37363,47872,32706,15935,35535,45892,33376,19341,608,72,104,38,60,2205,4485,2820,1530,3255,2295,31
OCT,2014,Wandsworth,0,58,112,163,3,177,21,13,38,49,7,141,96,73,201,36,140,62,81,328,3,0,4,38,22,52,36,4,62,1,1,28,33789,33789,66849,33152,16230,33252,74209,34049,20615,585,83,87,28,55,1050,3255,2340,765,2460,1695,28
OCT,2014,Westminster,0,103,183,227,21,271,28,29,47,137,7,129,154,80,173,22,320,494,122,1159,9,0,5,27,41,52,57,9,232,0,5,65,24845,24845,49933,29280,16419,23040,43644,27376,18755,1199,50,238,79,112,840,2415,1920,540,1860,1380,35
SEP,2014,Barking&Dagenham,0,45,120,136,5,150,27,9,28,42,3,96,33,76,78,20,68,22,26,168,1,0,1,38,8,67,25,4,85,0,0,31,34324,34324,29106,22598,10891,32007,31865,23411,14092,491,53,92,44,55,1815,3240,1875,1350,2655,1455,49
SEP,2014,Barnet,0,55,135,104,2,175,17,13,30,39,1,193,100,54,202,44,91,43,25,288,2,0,3,33,16,68,43,9,57,0,1,27,51568,51568,58191,45418,28880,48062,58890,47962,35944,542,57,96,59,47,1185,3630,2505,885,2670,1710,39
SEP,2014,Bexley,0,26,65,83,2,113,12,10,21,8,1,59,45,53,46,17,66,17,13,119,1,0,0,19,12,44,32,3,54,1,0,15,32788,32788,29768,31302,21715,31362,32334,33348,27248,355,45,93,49,38,1095,1740,1275,885,1725,975,27
SEP,2014,Brent,0,79,146,192,12,212,56,16,32,72,5,151,54,48,119,22,83,58,40,274,7,0,2,35,23,63,46,12,184,1,3,47,43842,43842,58210,39127,21253,40830,53467,39276,24757,613,65,146,29,58,1980,5865,4095,1320,3585,2700,40
SEP,2014,Bromley,0,45,114,134,3,187,14,6,19,28,1,127,53,43,111,19,123,28,16,231,5,0,2,45,21,78,54,2,58,0,0,31,41283,41283,39156,43399,30550,39188,43060,46078,38564,492,54,80,58,30,1185,2130,1800,795,1755,1275,24
SEP,2014,Camden,0,54,98,149,11,174,17,13,26,77,6,142,120,71,147,31,102,143,131,498,2,0,8,30,14,50,44,7,98,1,1,39,27500,27500,46765,26969,15557,26815,46390,25984,18866,670,69,146,39,54,960,2760,1920,795,1770,1335,34
SEP,2014,Croydon,0,85,199,215,17,228,34,27,45,49,7,158,81,77,169,25,154,40,19,347,5,0,3,56,22,95,54,11,117,3,2,57,53378,53378,52637,48608,27896,51452,56244,51904,33921,728,83,139,39,66,2340,4290,3135,1575,3285,2295,34
SEP,2014,Ealing,1,80,164,163,15,208,22,11,31,32,5,115,97,49,201,29,111,43,54,294,3,0,4,54,26,92,58,14,123,0,1,43,46653,46653,58463,43039,23530,44003,55801,42988,27641,715,70,148,39,55,1770,5430,3285,1170,3630,2250,35
SEP,2014,Enfield,2,45,115,134,23,176,29,12,33,71,5,188,68,50,146,21,106,35,34,272,3,0,0,35,8,71,50,8,97,0,1,35,48214,48214,46110,40045,23390,44934,49844,43249,28788,588,62,125,50,40,2325,4470,3075,1800,4095,2475,30
SEP,2014,Greenwich,0,67,172,178,10,168,27,11,23,24,4,136,58,46,107,19,113,32,45,267,5,0,2,48,12,76,46,15,84,0,1,41,38181,38181,47739,32419,16272,35981,45989,32474,19623,610,69,99,36,46,1860,3810,2520,1515,3165,1800,30
SEP,2014,Hackney,0,70,144,165,12,195,27,12,36,62,11,130,97,47,106,16,51,150,136,304,4,0,1,42,19,71,46,16,88,1,0,43,34266,34266,57488,27439,11520,33439,57718,27932,13348,606,71,144,38,62,1635,5550,3915,1395,3810,2505,37
SEP,2014,Hammersmith&Fulham,0,27,84,129,4,135,15,13,16,25,1,71,29,54,162,21,131,40,96,292,10,0,2,30,17,38,39,8,97,2,4,42,19501,19501,37122,20553,10095,19004,37453,21724,12913,543,59,121,31,40,885,2730,2010,585,1995,1455,31
SEP,2014,Haringey,0,85,154,140,14,161,25,15,30,102,6,175,62,65,181,25,81,141,33,282,2,0,2,52,15,50,45,5,69,0,0,39,34672,34672,52675,32287,14454,33232,49292,33176,17753,614,73,119,32,53,1905,5505,3795,1320,3750,2415,33
SEP,2014,Harrow,0,33,70,99,7,106,11,8,17,16,0,92,26,15,106,12,49,22,17,119,3,0,1,21,8,48,24,5,65,0,1,17,33214,33214,37269,30560,21122,30841,36094,32113,24798,379,49,103,28,26,960,2010,1320,525,1365,1080,40
SEP,2014,Havering,0,39,100,74,3,113,17,13,28,21,1,88,45,57,100,23,88,17,9,161,0,0,2,31,12,59,39,9,45,0,0,31,31565,31565,30424,31787,24419,30199,32569,33590,31421,403,50,93,39,41,1245,2235,1605,1005,1845,1230,38
SEP,2014,Hillingdon,0,60,156,172,14,218,28,9,27,36,9,111,63,46,161,23,146,39,37,281,3,0,5,44,25,79,52,9,54,0,1,111,41683,41683,46137,36027,22171,39226,45269,36318,25859,520,61,92,28,40,1020,2565,1500,780,2025,1095,31
SEP,2014,Hounslow,0,55,127,153,2,192,26,12,26,34,0,80,45,33,144,11,132,27,50,205,1,0,1,37,12,57,49,8,92,1,2,35,36123,36123,48011,32504,17735,34143,44746,31704,20602,537,67,100,29,45,1350,2940,1680,915,2100,1395,46
SEP,2014,Islington,0,73,137,164,9,224,26,18,23,83,8,113,91,64,115,20,122,212,128,328,2,0,1,38,20,63,43,6,89,0,1,36,23849,23849,50080,24632,11492,23558,49851,23973,13595,567,63,118,35,37,1860,3765,2400,1230,2715,1575,30
SEP,2014,Kensington&Chelsea,0,36,67,105,0,96,8,12,12,26,1,75,48,77,117,16,129,75,64,304,2,0,2,19,11,23,29,6,48,2,1,18,16578,16578,27794,20242,12643,15275,27431,21088,15139,455,49,150,73,31,600,1485,1275,405,1050,915,26
SEP,2014,KingstonUponThames,0,26,52,72,10,99,4,9,11,8,1,43,35,9,35,7,107,23,26,127,1,0,1,25,13,32,20,2,64,0,0,8,21576,21576,27406,21528,12903,21617,27953,21460,15515,322,43,90,27,39,510,1020,840,330,810,540,25
SEP,2014,Lambeth,0,120,196,214,21,249,24,27,46,120,4,151,80,85,210,52,107,131,118,402,11,0,4,61,37,94,62,25,170,0,6,67,35850,35850,72313,36669,14712,34926,69944,36234,17568,821,85,116,53,73,2085,6150,4950,1515,4110,3420,34
SEP,2014,Lewisham,0,64,141,173,14,211,28,22,31,62,3,137,50,56,114,19,93,55,46,252,5,0,2,51,23,68,40,13,85,1,0,52,38667,38667,52939,36227,15688,37129,54252,37671,19360,642,68,130,49,35,2145,4935,3750,1530,3855,2565,41
SEP,2014,Merton,0,33,67,81,8,87,8,9,13,34,2,67,69,23,92,17,54,22,31,150,1,0,3,23,15,50,23,3,50,0,0,12,26080,26080,34611,25267,14005,24715,35157,26347,17333,359,43,73,32,19,870,1995,1410,660,1695,1005,29
SEP,2014,Newham,0,91,154,211,13,173,50,20,30,137,7,109,57,131,145,33,125,128,40,332,5,0,0,50,14,64,47,7,134,0,1,57,48340,48340,72216,34902,13726,46916,58350,33494,16378,785,71,154,42,50,2505,5355,3255,2130,3960,2430,49
SEP,2014,Redbridge,0,63,103,117,11,145,15,15,20,53,4,122,48,72,133,13,55,29,28,198,1,0,2,29,10,61,38,4,126,1,0,24,43178,43178,46791,34464,20744,40733,46477,35892,24776,525,57,122,53,54,1830,2895,1935,1470,2205,1575,38
SEP,2014,RichmondUponThames,1,21,50,45,0,73,6,3,12,15,1,57,89,32,95,26,63,9,65,129,0,0,2,26,10,39,19,1,26,0,0,23,24684,24684,26214,27120,16034,23902,28299,27644,19688,303,31,56,24,20,450,1080,990,300,915,690,22
SEP,2014,Southwark,0,100,174,212,14,209,35,21,38,78,4,106,92,94,148,45,118,103,113,449,4,0,4,46,35,78,59,15,204,1,3,51,36455,36455,62703,36731,14088,35574,63906,35875,17206,765,84,114,39,70,2085,5580,4140,1710,4140,3030,32
